animation_name,length_sec,track_count,correct_hip,correct_xz,animation_type,weapon_attached,wired_connections,storage_domain,verified_for_use,skeleton,pack_or_folder,source_path,in_wiring_table,asset_exists,load_ok,notes
punching,1.0333,20,pipeline_locked_if_played,pipeline_locked_if_played,attack,unarmed|magic,grudge_pack:{attack} packs=unarmed|magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|magic,unarmed/punching,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
walking,1,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield,grudge_pack:{walk} packs=unarmed|sword_shield,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield,locomotion/walking,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
run-back,0.6667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{runB} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/run-back,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
run-left,0.6667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{runL} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/run-left,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
run-right,0.7667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{runR} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/run-right,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
walk-back,1.4667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{walkB} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/walk-back,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
walk-left,1.2,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{walkL} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/walk-left,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
walk-right,1.2,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,unarmed|sword_shield|longbow,grudge_pack:{walkR} packs=unarmed|sword_shield|longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed|sword_shield|longbow,longbow/walk-right,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
fight_idle,2.3667,20,pipeline_locked_if_played,pipeline_locked_if_played,idle,unarmed,grudge_pack:{idle} packs=unarmed,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,unarmed,unarmed/fight_idle,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
hip-hop-dancing,,0,not_played_unverified,not_played_unverified,other,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_not_wired,mixamo,extra,animations/extra/hip-hop-dancing,no,yes,fail,load_err=window is not defined; FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
draw-great-sword-2,,0,not_played_unverified,not_played_unverified,weapon_handling,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_not_wired,mixamo,greatsword,animations/greatsword/draw-great-sword-2,no,yes,fail,load_err=THREE.FBXLoader: Unknown property type ; FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
great-sword-blocking,,0,not_played_unverified,not_played_unverified,defense,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_not_wired,mixamo,greatsword,animations/greatsword/great-sword-blocking,no,yes,fail,load_err=THREE.FBXLoader: Unknown property type ; FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
standing-2h-magic-area-attack-01,,0,not_played_unverified,not_played_unverified,attack,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_not_wired,mixamo,magic,animations/magic/standing-2h-magic-area-attack-01,no,yes,fail,load_err=THREE.FBXLoader: Unknown property type ; FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
knocked-out,,0,not_played_unverified,not_played_unverified,reaction,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_not_wired,mixamo,reactions,animations/reactions/knocked-out,no,yes,fail,load_err=document is not defined; FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
parry,0.5,20,not_played_unverified,not_played_unverified,defense,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,block,animations/block/parry,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
standing-melee-kick,1.4333,21,not_played_unverified,not_played_unverified,attack,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,bow,animations/bow/standing-melee-kick,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
climbing,3.8333,21,not_played_unverified,not_played_unverified,acrobatics,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,climb,animations/climb/climbing,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
crouched-to-sprinting,0.5,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,extra,animations/extra/crouched-to-sprinting,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
frisbee-throw,3.3,21,not_played_unverified,not_played_unverified,utility,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,extra,animations/extra/frisbee-throw,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
male-dynamic-pose,0.0333,21,not_played_unverified,not_played_unverified,other,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,extra,animations/extra/male-dynamic-pose,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
pushing,1.3333,21,not_played_unverified,not_played_unverified,other,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,extra,animations/extra/pushing,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
start-swinging,2.0333,21,not_played_unverified,not_played_unverified,other,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,extra,animations/extra/start-swinging,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
jump,2,21,not_played_unverified,not_played_unverified,acrobatics,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/jump,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
jump-2,0.8,21,not_played_unverified,not_played_unverified,acrobatics,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/jump-2,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
kneel-to-stand,1.3667,21,not_played_unverified,not_played_unverified,idle,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/kneel-to-stand,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
run-backward-arc-left,0.5,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/run-backward-arc-left,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
run-backward-arc-right,0.5,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/run-backward-arc-right,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
stand-to-kneel,1,21,not_played_unverified,not_played_unverified,idle,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/stand-to-kneel,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
strafe-left,0.5667,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/strafe-left,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
strafe-right,0.6,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/strafe-right,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
walk-backward-arc-left,0.6,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/walk-backward-arc-left,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
walk-backward-arc-right,0.6,21,not_played_unverified,not_played_unverified,locomotion,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,pistol,animations/pistol/walk-backward-arc-right,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
idle-aiming,2.1,21,not_played_unverified,not_played_unverified,idle,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,rifle,animations/rifle/idle-aiming,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
Flip_Kick,2.8,21,not_played_unverified,not_played_unverified,attack,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,striker,animations/striker/Flip_Kick,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
slash-advance,2.5,20,not_played_unverified,not_played_unverified,attack,NONE_ORPHAN,ORPHAN_NOT_IN_WEAPON_SETS_OR_GLOBAL,local:public/anim,orphan_on_disk_loads,mixamo,sword,animations/sword/slash-advance,no,yes,yes,FILE EXISTS BUT NOT REFERENCED IN clipCatalog WEAPON_SETS/GLOBAL/TRAVERSAL
block-react-large,1.3333,20,pipeline_locked_if_played,pipeline_locked_if_played,defense,global,global:{blockReactWide},local:public/anim,wired_and_loads,mixamo,block,animations/block/block-react-large,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
great-sword-impact,0.8667,20,pipeline_locked_if_played,pipeline_locked_if_played,defense,global,global:{blockReactHeavy},local:public/anim,wired_and_loads,mixamo,block,animations/block/great-sword-impact,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
left-block,1.5,20,pipeline_locked_if_played,pipeline_locked_if_played,defense,global,global:{blockLeft},local:public/anim,wired_and_loads,mixamo,block,animations/block/left-block,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
right-block,1.7,20,pipeline_locked_if_played,pipeline_locked_if_played,defense,global,global:{blockRight},local:public/anim,wired_and_loads,mixamo,block,animations/block/right-block,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
standing-block-idle,2.7667,20,pipeline_locked_if_played,pipeline_locked_if_played,defense,global,global:{blockGuard},local:public/anim,wired_and_loads,mixamo,block,animations/block/standing-block-idle,yes,yes,yes,Duration from FBXLoader; hip/XZ only locked when Studio plays via Animator
